name,id,type,producer_name,package,price,regular_price,savings,offer_end_date,stock_type,sugar_content,origin,is_vqa,description,image_thumb_url,image_url,varietal,style
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Crush Red VQA,234294,Red Wine,Andres Wines Ltd,750 mL bottle,11.95,12.95,1.0,2013-06-23,LCBO,D - Dry,"Ontario, Canada",true,,http://lcbo.com/assets/products/234x234/0234294.jpg,http://lcbo.com/assets/products/720x720/0234294.jpg,Blend,Medium-bodied & Fruity
,,,,,,,,,,,,,,,,,
Trius Merlot VQA,587907,Red Wine,Andres Wines Ltd,750 mL bottle,13.95,14.95,1.0,2013-06-23,LCBO,D - Dry,"Ontario, Canada",true,,http://lcbo.com/assets/products/234x234/0587907.jpg,http://lcbo.com/assets/products/720x720/0587907.jpg,Merlot,Full-bodied & Smooth
,,,,,,,,,,,,,,,,,
Yellow Tail Shiraz,624544,Red Wine,Casella Wines,750 mL bottle,10.95,11.95,1.0,2013-06-23,LCBO,D - Dry,Australia,false,,http://lcbo.com/assets/products/234x234/0624544.jpg,http://lcbo.com/assets/products/720x720/0624544.jpg,Shiraz/Syrah,Full-bodied & Smooth
Rosemount Diamond Shiraz Cab,214270,Red Wine,Rosemount Estate Pty,750 mL bottle,11.95,12.95,1.0,2013-06-23,LCBO,D - Dry,Australia,false,,,,Shiraz/Cabernet Sauvignon,Full-bodied & Smooth
Flat Roof Manor Pinot Grigio,27128,White Wine,Distillers Corporation Limited,750 mL bottle,10.25,11.25,1.0,2013-06-23,LCBO,XD - Extra Dry,South Africa,false,,,,Pinot Grigio,Light & Crisp
Naked Grape Shiraz,665216,Red Wine,Constellation Brands Inc.,750 mL bottle,8.94,9.94,1.0,2013-06-23,LCBO,D - Dry,Canada,false,,http://lcbo.com/assets/products/234x234/0665216.jpg,http://lcbo.com/assets/products/720x720/0665216.jpg,Shiraz/Syrah,Medium-bodied & Fruity
Chateau Timberlay,30072,Red Wine,Domaines Robert Giraud,750 mL bottle,14.95,15.95,1.0,2013-06-23,LCBO,XD - Extra Dry,"Bordeaux, France",false,,http://lcbo.com/assets/products/234x234/0030072.jpg,http://lcbo.com/assets/products/720x720/0030072.jpg,Bordeaux,Medium-bodied & Fruity
,,,,,,,,,,,,,,,,,
Kacaba Unoaked Chardonnay VQA,326975,White Wine,Kacaba Vineyards,750 mL bottle,13.95,14.95,1.0,2013-06-23,LCBO,XD - Extra Dry,"Ontario, Canada",true,,http://lcbo.com/assets/products/234x234/0326975.jpg,http://lcbo.com/assets/products/720x720/0326975.jpg,Chardonnay,Light & Crisp
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Collavini Pinot Grigio IGT,33340,White Wine,Azienda Vinicola E. Collavini,750 mL bottle,13.95,14.95,1.0,2013-06-23,LCBO,XD - Extra Dry,"Veneto, Italy",false,,http://lcbo.com/assets/products/234x234/0033340.jpg,http://lcbo.com/assets/products/720x720/0033340.jpg,Pinot Grigio,Light & Crisp
,,,,,,,,,,,,,,,,,
